game_id,tour,issue_type,endpoint,status,payload_size_or_count,local_state,notes
38f59a04-b594-4709-9957-d055ea136481,6,em_team_missing_ids,https://sota.id/em/38f59a04-b594-4709-9957-d055ea136481-team-home.json | https://sota.id/em/38f59a04-b594-4709-9957-d055ea136481-team-away.json,200/200,home_ids=0/18;away_ids=0/19,starters=3-1,Both team payloads have no player id values
38f59a04-b594-4709-9957-d055ea136481,6,em_team_missing_amplua,https://sota.id/em/38f59a04-b594-4709-9957-d055ea136481-team-home.json | https://sota.id/em/38f59a04-b594-4709-9957-d055ea136481-team-away.json,200/200,home_amplua=0/18;away_amplua=0/19,starters=3-1,No amplua provided for either team payload
87052a35-a7d7-460e-b232-0782d1f767ff,6,em_team_missing_ids,https://sota.id/em/87052a35-a7d7-460e-b232-0782d1f767ff-team-home.json | https://sota.id/em/87052a35-a7d7-460e-b232-0782d1f767ff-team-away.json,200/200,home_ids=0/20;away_ids=0/19,starters=0-0,Both team payloads have no player id values
3630e8a1-12ca-4325-a393-58e1efd61102,6,em_team_missing_ids,https://sota.id/em/3630e8a1-12ca-4325-a393-58e1efd61102-team-home.json | https://sota.id/em/3630e8a1-12ca-4325-a393-58e1efd61102-team-away.json,200/200,home_ids=0/21;away_ids=0/17,starters=11-12,Both team payloads have no player id values
44db217d-c89e-4987-9a51-0b00139f983d,7,em_team_missing_ids,https://sota.id/em/44db217d-c89e-4987-9a51-0b00139f983d-team-home.json | https://sota.id/em/44db217d-c89e-4987-9a51-0b00139f983d-team-away.json,200/200,home_ids=0/18;away_ids=0/16,starters=0-0,Both team payloads have no player id values
44db217d-c89e-4987-9a51-0b00139f983d,7,em_team_missing_amplua,https://sota.id/em/44db217d-c89e-4987-9a51-0b00139f983d-team-home.json | https://sota.id/em/44db217d-c89e-4987-9a51-0b00139f983d-team-away.json,200/200,home_amplua=0/18;away_amplua=0/16,starters=0-0,No amplua provided for either team payload
52cf7cd6-fdb7-4613-a3a7-51d3da3c66f1,7,em_team_missing_ids,https://sota.id/em/52cf7cd6-fdb7-4613-a3a7-51d3da3c66f1-team-home.json | https://sota.id/em/52cf7cd6-fdb7-4613-a3a7-51d3da3c66f1-team-away.json,200/200,home_ids=0/19;away_ids=0/18,starters=2-4,Both team payloads have no player id values
52cf7cd6-fdb7-4613-a3a7-51d3da3c66f1,7,em_team_missing_amplua,https://sota.id/em/52cf7cd6-fdb7-4613-a3a7-51d3da3c66f1-team-home.json | https://sota.id/em/52cf7cd6-fdb7-4613-a3a7-51d3da3c66f1-team-away.json,200/200,home_amplua=0/19;away_amplua=0/18,starters=2-4,No amplua provided for either team payload
2c954959-81bd-45c0-ae66-5cc659549c49,7,em_team_missing_ids,https://sota.id/em/2c954959-81bd-45c0-ae66-5cc659549c49-team-home.json | https://sota.id/em/2c954959-81bd-45c0-ae66-5cc659549c49-team-away.json,200/200,home_ids=0/20;away_ids=0/15,starters=0-0,Both team payloads have no player id values
0ef3be81-bbb2-4376-9d83-a4eb1af69d20,7,em_team_missing_ids,https://sota.id/em/0ef3be81-bbb2-4376-9d83-a4eb1af69d20-team-home.json | https://sota.id/em/0ef3be81-bbb2-4376-9d83-a4eb1af69d20-team-away.json,200/200,home_ids=0/18;away_ids=0/21,starters=0-0,Both team payloads have no player id values
e8a93664-66ba-4587-922f-1a3f6db157e1,8,em_team_missing_ids,https://sota.id/em/e8a93664-66ba-4587-922f-1a3f6db157e1-team-home.json | https://sota.id/em/e8a93664-66ba-4587-922f-1a3f6db157e1-team-away.json,200/200,home_ids=0/20;away_ids=0/16,starters=0-0,Both team payloads have no player id values
5ba207c3-8d26-47de-987a-e8b9e98b8a41,8,em_team_missing_ids,https://sota.id/em/5ba207c3-8d26-47de-987a-e8b9e98b8a41-team-home.json | https://sota.id/em/5ba207c3-8d26-47de-987a-e8b9e98b8a41-team-away.json,200/200,home_ids=0/18;away_ids=0/13,starters=0-0,Both team payloads have no player id values
eef1341d-7003-4464-90b4-f5a4d716855b,8,em_team_missing_ids,https://sota.id/em/eef1341d-7003-4464-90b4-f5a4d716855b-team-home.json | https://sota.id/em/eef1341d-7003-4464-90b4-f5a4d716855b-team-away.json,200/200,home_ids=0/20;away_ids=0/20,starters=0-0,Both team payloads have no player id values
629f7ced-9250-40ae-a3af-0cd3a47e0c9d,8,em_team_missing_ids,https://sota.id/em/629f7ced-9250-40ae-a3af-0cd3a47e0c9d-team-home.json | https://sota.id/em/629f7ced-9250-40ae-a3af-0cd3a47e0c9d-team-away.json,200/200,home_ids=0/20;away_ids=0/18,starters=0-0,Both team payloads have no player id values
4d75f850-98ac-48d1-8d03-8d78cc6cb381,8,em_team_missing_ids,https://sota.id/em/4d75f850-98ac-48d1-8d03-8d78cc6cb381-team-home.json | https://sota.id/em/4d75f850-98ac-48d1-8d03-8d78cc6cb381-team-away.json,200/200,home_ids=0/15;away_ids=0/19,starters=13-13,Both team payloads have no player id values
a0f4caeb-5eda-4c2b-889e-b7441768d254,9,em_team_missing_ids,https://sota.id/em/a0f4caeb-5eda-4c2b-889e-b7441768d254-team-home.json | https://sota.id/em/a0f4caeb-5eda-4c2b-889e-b7441768d254-team-away.json,200/200,home_ids=0/18;away_ids=0/13,starters=0-0,Both team payloads have no player id values
06d4a04c-c65e-4091-9ff9-7efbe58bdee1,9,em_team_missing_ids,https://sota.id/em/06d4a04c-c65e-4091-9ff9-7efbe58bdee1-team-home.json | https://sota.id/em/06d4a04c-c65e-4091-9ff9-7efbe58bdee1-team-away.json,200/200,home_ids=0/18;away_ids=0/21,starters=0-0,Both team payloads have no player id values
39c2570c-aba1-4685-b805-a34bfcb60625,9,em_team_missing_ids,https://sota.id/em/39c2570c-aba1-4685-b805-a34bfcb60625-team-home.json | https://sota.id/em/39c2570c-aba1-4685-b805-a34bfcb60625-team-away.json,200/200,home_ids=0/18;away_ids=0/12,starters=0-0,Both team payloads have no player id values
b2d63e19-fd48-4dd4-a5e5-d0bd64bdf67c,9,em_team_missing_ids,https://sota.id/em/b2d63e19-fd48-4dd4-a5e5-d0bd64bdf67c-team-home.json | https://sota.id/em/b2d63e19-fd48-4dd4-a5e5-d0bd64bdf67c-team-away.json,200/200,home_ids=0/18;away_ids=0/18,starters=14-15,Both team payloads have no player id values
ea838efe-94dc-4248-b340-3cc0f914a105,9,em_team_missing_ids,https://sota.id/em/ea838efe-94dc-4248-b340-3cc0f914a105-team-home.json | https://sota.id/em/ea838efe-94dc-4248-b340-3cc0f914a105-team-away.json,200/200,home_ids=0/22;away_ids=0/19,starters=12-12,Both team payloads have no player id values
7ad9e497-0e28-41bc-9291-29429fd46dce,10,em_team_missing_ids,https://sota.id/em/7ad9e497-0e28-41bc-9291-29429fd46dce-team-home.json | https://sota.id/em/7ad9e497-0e28-41bc-9291-29429fd46dce-team-away.json,200/200,home_ids=0/16;away_ids=0/18,starters=12-14,Both team payloads have no player id values
668ebf40-8fc9-4473-afb5-77ac26d26b3f,10,em_team_missing_ids,https://sota.id/em/668ebf40-8fc9-4473-afb5-77ac26d26b3f-team-home.json | https://sota.id/em/668ebf40-8fc9-4473-afb5-77ac26d26b3f-team-away.json,200/200,home_ids=0/16;away_ids=0/16,starters=0-0,Both team payloads have no player id values
71437e89-de26-4a59-a210-fe07c655b878,10,em_team_missing_ids,https://sota.id/em/71437e89-de26-4a59-a210-fe07c655b878-team-home.json | https://sota.id/em/71437e89-de26-4a59-a210-fe07c655b878-team-away.json,200/200,home_ids=0/20;away_ids=0/20,starters=0-0,Both team payloads have no player id values
53dc0563-8887-4233-895e-8f6873bc0a89,10,em_team_missing_ids,https://sota.id/em/53dc0563-8887-4233-895e-8f6873bc0a89-team-home.json | https://sota.id/em/53dc0563-8887-4233-895e-8f6873bc0a89-team-away.json,200/200,home_ids=0/18;away_ids=0/15,starters=0-0,Both team payloads have no player id values
70149466-88ec-4adc-a2f9-e9d49a0d769e,11,em_team_missing_ids,https://sota.id/em/70149466-88ec-4adc-a2f9-e9d49a0d769e-team-home.json | https://sota.id/em/70149466-88ec-4adc-a2f9-e9d49a0d769e-team-away.json,200/200,home_ids=0/17;away_ids=0/17,starters=0-0,Both team payloads have no player id values
305ff885-56fb-408d-9714-40c4b90b3185,11,em_team_missing_ids,https://sota.id/em/305ff885-56fb-408d-9714-40c4b90b3185-team-home.json | https://sota.id/em/305ff885-56fb-408d-9714-40c4b90b3185-team-away.json,200/200,home_ids=0/20;away_ids=0/13,starters=15-13,Both team payloads have no player id values
5053c9bb-0e99-4733-98ec-7f6f5f32b425,11,em_team_missing_ids,https://sota.id/em/5053c9bb-0e99-4733-98ec-7f6f5f32b425-team-home.json | https://sota.id/em/5053c9bb-0e99-4733-98ec-7f6f5f32b425-team-away.json,200/200,home_ids=0/17;away_ids=0/20,starters=0-0,Both team payloads have no player id values
2f27d13d-67a5-4e79-83bd-4d798fd13415,11,em_team_missing_ids,https://sota.id/em/2f27d13d-67a5-4e79-83bd-4d798fd13415-team-home.json | https://sota.id/em/2f27d13d-67a5-4e79-83bd-4d798fd13415-team-away.json,200/200,home_ids=0/18;away_ids=0/16,starters=0-0,Both team payloads have no player id values
fd51a96a-231c-4195-8b59-f1d9ba6e1410,11,em_team_missing_ids,https://sota.id/em/fd51a96a-231c-4195-8b59-f1d9ba6e1410-team-home.json | https://sota.id/em/fd51a96a-231c-4195-8b59-f1d9ba6e1410-team-away.json,200/200,home_ids=0/20;away_ids=0/17,starters=12-14,Both team payloads have no player id values
531c426c-a1ec-4d5e-bc1b-762bbdfcde0e,12,em_team_missing_ids,https://sota.id/em/531c426c-a1ec-4d5e-bc1b-762bbdfcde0e-team-home.json | https://sota.id/em/531c426c-a1ec-4d5e-bc1b-762bbdfcde0e-team-away.json,200/200,home_ids=0/20;away_ids=0/18,starters=0-0,Both team payloads have no player id values
dc887c0c-732a-480c-9e8b-30110b5d67aa,12,em_team_missing_ids,https://sota.id/em/dc887c0c-732a-480c-9e8b-30110b5d67aa-team-home.json | https://sota.id/em/dc887c0c-732a-480c-9e8b-30110b5d67aa-team-away.json,200/200,home_ids=0/16;away_ids=0/18,starters=0-0,Both team payloads have no player id values
354ded4b-129f-43b2-8aab-3aea8aab6d1f,13,em_team_missing_ids,https://sota.id/em/354ded4b-129f-43b2-8aab-3aea8aab6d1f-team-home.json | https://sota.id/em/354ded4b-129f-43b2-8aab-3aea8aab6d1f-team-away.json,200/200,home_ids=0/12;away_ids=0/19,starters=0-0,Both team payloads have no player id values
718fd67d-4874-4a97-9b04-837a540de1ff,13,em_team_missing_ids,https://sota.id/em/718fd67d-4874-4a97-9b04-837a540de1ff-team-home.json | https://sota.id/em/718fd67d-4874-4a97-9b04-837a540de1ff-team-away.json,200/200,home_ids=0/17;away_ids=0/18,starters=0-0,Both team payloads have no player id values
af1d300b-f6fc-461f-b4d1-05d697b5e052,13,em_team_missing_ids,https://sota.id/em/af1d300b-f6fc-461f-b4d1-05d697b5e052-team-home.json | https://sota.id/em/af1d300b-f6fc-461f-b4d1-05d697b5e052-team-away.json,200/200,home_ids=0/20;away_ids=0/20,starters=0-0,Both team payloads have no player id values
20f68c68-f735-4a3b-b800-46967765e1d0,22,em_team_missing_ids,https://sota.id/em/20f68c68-f735-4a3b-b800-46967765e1d0-team-home.json | https://sota.id/em/20f68c68-f735-4a3b-b800-46967765e1d0-team-away.json,200/200,home_ids=0/18;away_ids=0/16,starters=0-0,Both team payloads have no player id values
402e1ba0-d081-4b2e-b65c-cf927e36edcd,24,em_team_missing_ids,https://sota.id/em/402e1ba0-d081-4b2e-b65c-cf927e36edcd-team-home.json | https://sota.id/em/402e1ba0-d081-4b2e-b65c-cf927e36edcd-team-away.json,200/200,home_ids=0/19;away_ids=0/17,starters=0-0,Both team payloads have no player id values
